B,C,D,E,F,G,H,I,J,K,L,N
1,3649.116,3629.004,-8.19,62.05890525,49.19835014,48.55152366,55.86677238,-37.94109475,9.750331001,-16.76319698,3668.07
1,3654.136,3643.066545,5.71,89.09882375,51.07341582,55.5279038,56.51708276,-10.90117625,14.85473906,74.00954665,3726.46
1,3656.037,3658.634545,53.42,85.14425266,49.99748643,52.24773571,60.38635837,-14.85574734,78.74067573,116.4063363,3739.76
1,3663.847,3678.344182,42.79,95.35990728,52.88845246,59.45200174,63.95568355,-4.640092719,9.043318937,94.40920495,3764.44
1,3669.724,3699.539273,111.51,92.67577023,53.01912052,57.46172012,67.86588754,-7.324229771,48.78476572,113.1559016,3780.42
1,3682.094,3721.882182,145.03,85.70055355,57.18004736,67.50835079,71.37580808,-14.29944645,85.20639937,108.2043872,3792.61
1,3698.867,3746.103273,245.73,93.22483344,63.56403098,73.64859149,74.43719079,-6.775166562,31.8782309,90.33609056,3815.31
1,3725.159,3770.400182,278.37,97.31950695,73.01741063,94.74167858,77.71831229,-2.680493054,14.98086386,85.57548137,3832.5
1,3746.328,3777.793091,187.93,65.44653241,78.63263903,80.67526445,79.5581392,-34.55346759,96.59479808,64.3575319,3765.82
1,3762.705,3776.944364,73.59,55.22085729,82.12499428,73.70386452,75.39050259,-44.77914271,74.50188827,-10.76996198,3741.66
1,3776.581,3784.967091,80.37,66.87554716,82.60665847,71.65147922,70.63446442,-33.12445284,11.30498001,22.50594245,3806.83
1,3792.311,3804.454182,144,96.41544118,83.33832021,73.20195882,71.47254476,-3.584558824,10.41697581,171.9949777,3883.76
1,3807.676,3822.835818,128.97,89.82168718,83.80606367,72.9102675,76.47565668,-10.17831282,30.49078091,165.4659777,3893.41
1,3820.173,3837.696545,108.99,77.17105567,81.9871785,69.85857302,80.09577196,-22.82894433,83.10946944,143.4449705,3889.41
1,3834.738,3856.950545,133.46,94.0783102,82.1274325,71.7174127,82.28991465,-5.921689803,15.83143508,113.89937,3926.07
1,3847.597,3872.670909,105.89,84.0097882,81.95835597,69.60153654,85.39327405,-15.9902118,75.1984127,105.9506679,3921.2
1,3863.839,3896.331455,145.23,97.06507707,82.34238033,72.44362149,87.35359143,-2.934922925,13.49275615,118.61005,3977.73
1,3881.28,3922.344364,241.09,93.63555672,81.97398531,73.32744831,92.00678025,-6.364443276,43.65276212,132.1977545,4006.91
1,3910.358,3954.220727,314.94,97.25832243,85.15516431,90.7437507,97.22914476,-2.741677569,24.53812126,144.3982409,4056.6
1,3945.731,3987.862909,288.56,96.96579822,89.3296584,97.61218941,104.0184807,-3.03420178,33.64041605,143.5706061,4095.39
1,3977.56,4020.479091,241.36,92.51264755,91.89336844,97.36035473,111.1153055,-7.487352445,37.36801836,130.2339382,4125.12
1,3989.647,4025.400909,111.22,49.47326757,87.19915108,65.92112542,115.6020533,-50.52673243,73.13150009,46.51220681,4004.63
1,4015.535,4054.972364,262.88,93.82595193,87.59957756,75.00772798,112.0774414,-6.174048069,5.596987908,94.23400493,4152.29
1,4047.15,4089.522364,279.49,95.16448786,89.39892078,77.88558223,118.4488367,-4.835512139,34.3259229,145.7595552,4205.56
1,4075.772,4119.547818,291.09,87.39672395,88.73076215,76.65288487,125.6652573,-12.60327605,57.04977847,127.1116793,4212.29
1,4108.125,4150.267455,267,90.58288265,89.3880716,78.65582541,130.7968265,-9.417117349,67.45234679,129.8566674,4244.73
1,4142.828,4189.655636,317.85,98.7535954,89.55692343,79.50885189,136.6047685,-1.246404602,5.901840491,130.8224515,4324.76
1,4176.057,4225.359636,282.6,95.39359444,89.7327272,78.98198057,145.0312292,-4.606405557,28.79107627,119.6645007,4339.2
1,4196.191,4240.247455,162.55,74.085948,87.41548976,66.64407116,149.7442538,-25.914052,92.37038904,76.86962576,4257.94
1,4217.703,4261.032727,185.39,86.47839513,86.36674945,67.38708739,147.1891085,-13.52160487,25.16910936,70.47480813,4310.51
1,4242.108,4288.572182,364.54,99.34394845,87.04987954,68.8441047,147.791785,-0.65605155,4.904013962,96.75030471,4369.17
1,4285.07,4323.507091,281.96,97.54678148,91.85723093,86.27689398,151.3522683,-2.453218519,23.03932459,148.7104634,4434.25
1,4312.361,4348.985273,219.64,83.88794511,90.86343025,80.08731506,156.5333862,-16.11205489,64.08320085,135.6445088,4425.2
1,4335.231,4371.148727,221.97,86.64015769,90.01099723,77.93657774,158.3495408,-13.35984231,6.663309836,94.5940469,4434.26
1,4353.315,4381.675818,148.4,67.12978097,87.98430293,70.37771568,157.962679,-32.87021903,85.3688176,71.98868222,4393.13
1,4359.433,4373.056727,-18.85,25.64966741,81.49098141,56.13640923,151.9099262,-74.35033259,94.11300165,-18.92506193,4305.91
1,4346.34,4342.947091,-145.37,3.357976923,71.95141956,37.66091792,138.118291,-96.64202308,92.28938601,-151.4588635,4193.83
1,4339.895,4329.930727,16.81,41.3302644,66.54508656,44.60244879,119.5973077,-58.6697356,9.859698803,-114.3374775,4274.75
1,4337.636,4310.922545,-75.16,29.70372993,62.10686475,47.96548805,108.4336626,-70.29627007,88.22170901,-76.59782386,4235.35
1,4320,4273.925091,-235.02,2.282999856,53.68732522,35.39582643,94.4121411,-97.71700014,93.67219917,-126.0045577,4134.15
1,4304.795,4255.219636,-217.13,31.79884049,46.93281443,37.89622837,76.94897114,-68.20115951,5.983645227,-91.26337779,4217.12
1,4276.542,4227.387818,-273.48,14.40614861,38.61875114,27.52096494,66.85681439,-85.59385139,89.62560134,-78.42119023,4151.72
1,4257.191,4219.232909,-202.57,36.66730449,33.89668708,36.16501037,55.07930978,-63.33269551,6.483499377,-58.10238066,4231.69
1,4249.404,4237.269091,-36.74,70.75417544,32.30808885,45.22264077,52.25236895,-29.24582456,7.622663551,65.86039683,4356.39
1,4239.806,4245.950182,-8.76,58.80100162,31.47521092,44.23958708,56.72176609,-41.19899838,83.9651301,88.05597803,4297.15
1,4247.472,4271.907273,188.74,97.85086515,38.69533069,54.61085048,56.9494828,-2.149134853,7.020298307,136.2431161,4382.57
1,4268.294,4300.012364,127.3,92.62357414,47.62189041,64.09367808,62.33662962,-7.376425856,59.49460255,136.3345386,4402.05
1,4286.143,4333.638909,217.89,99.11664716,53.40052869,62.58797975,67.86082113,-0.88335284,7.42562661,124.8399667,4453.24
1,4308.116,4364.354727,320.93,91.79204108,59.6093598,66.36332494,74.78330677,-8.207958922,59.07243163,107.996429,4455.08
1,4349.993,4408.864545,335.8,99.13571646,69.29463146,81.34271387,80.89384056,-0.864283537,4.341170038,125.0510401,4552.92
1,4391.42,4460.027636,479.67,98.88155517,76.00290293,81.21618567,92.28338327,-1.118444829,6.927426956,140.8907067,4631.39
